Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
CFP_pan_fur_MG1655_1	10556680	7821698	1762	595176	0	0	0	0	26281	0	0	0	0	1610224	311438	190101	74.0924040512737	10556680.0	9961504.0	94.36	595176.0	5.64	CFP_pan_fur_MG1655_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10556680.0	0.0	20-31	52.0	15.959560995261752	30.45958312651326	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass		2.6	10702587	1409451	10702587	331780197	8836260	321222269	3.1822055974003773	0.0304	0.4803	0.4894		
CFP_pan_fur_MG1655_2	10032103	7371973	1979	504705	0	0	0	0	56703	0	0	0	0	1619024	301602	176117	73.48382487699737	10032103.0	9527398.0	94.97	504705.0	5.03	CFP_pan_fur_MG1655_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10032103.0	0.0	20-31	52.0	16.695532827791375	30.458130065052163	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass		2.6	10191100	815531	10191100	315924100	4542148	309322490	2.089618993929238	0.0306	0.4819	0.4876		
CFP_pan_fur_MG1655_3	10713890	8130049	1176	562512	0	0	0	0	41191	0	0	0	0	1355807	359038	264117	75.88325995506767	10713890.0	10151378.0	94.75	562512.0	5.25	CFP_pan_fur_MG1655_3_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10713890.0	0.0	20-31	51.0	15.876551529280851	30.45475070212593	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		2.6	10848313	869351	10848313	336297703	4835888	329837743	1.9209051808480533	0.0316	0.4556	0.5127		
CFP_pan_fur_MG1655_4	8880301	6704192	1569	510706	0	0	0	0	35380	0	0	0	0	1151795	292212	184447	75.49509864586797	8880301.0	8369595.0	94.25	510706.0	5.75	CFP_pan_fur_MG1655_4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8880301.0	0.0	20-31	51.0	16.808164535645517	30.453684846943816	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass		2.6	9037985	734074	9037985	280177535	4043231	274362400	2.0755179390096354	0.0326	0.4557	0.5117		
INDIMOD_Cond_0_R1	10669668	8285817	43671	667897	0	0	0	0	61485	0	0	0	0	1173018	284328	153452	77.65768344432085	10669668.0	10001771.0	93.74	667897.0	6.26	INDIMOD_Cond_0_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10669668.0	0.0	20-101	52.0	14.218165762547738	99.676650857365	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	10684843	3282927	10684843	1079169143	1256999	1072196023	0.6461563551210618	0.0111	0.4166	0.5723		
INDIMOD_Cond_0_R2	10002380	7245432	268717	559779	0	0	0	0	91951	0	0	0	0	1403571	271454	161476	72.43707997496595	10002380.0	9442601.0	94.4	559779.0	5.6	INDIMOD_Cond_0_R2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10002380.0	0.0	20-101	52.0	16.09116497644046	99.47127103749308	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	10013290	3204895	10013290	1011342290	1131485	1002631901	0.8612701244798139	0.0124	0.4263	0.5614		
INDIMOD_Cond_14_R1	11373782	8283160	461644	506634	0	0	0	0	118560	0	0	0	0	1533697	312608	157479	72.82678707926704	11373782.0	10867148.0	95.55	506634.0	4.45	INDIMOD_Cond_14_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11373782.0	0.0	20-101	52.0	16.75388464318833	99.29200981696326	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	11385673	3724334	11385673	1149952973	1037269	1138190261	1.022886350675142	0.0124	0.4257	0.5619		
INDIMOD_Cond_14_R2	10299313	7035176	1018158	477562	0	0	0	0	111468	0	0	0	0	1237879	267008	152062	68.30723563794983	10299313.0	9821751.0	95.36	477562.0	4.64	INDIMOD_Cond_14_R2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10299313.0	0.0	20-101	52.0	17.022283075495263	99.46371160872576	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	2.6	10305088	3346470	10305088	1040813888	1000627	1031891313	0.8572690183011855	0.0119	0.3995	0.5886		
INDIMOD_Cond_21_R1	24597515	15309788	967392	1287912	0	0	0	0	119843	0	0	0	0	6109704	669595	133281	62.24119794214985	24597515.0	23309603.0	94.76	1287912.0	5.24	INDIMOD_Cond_21_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24597515.0	0.0	20-101	52.0	6.8716093578134725	97.18660417525916	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn	2.6	24732344	8385011	24732344	2497966744	42479635	2416273643	3.270383851034968	0.0135	0.4345	0.552		
INDIMOD_Cond_21_R2	20335887	12539917	924536	871482	0	0	0	0	93299	0	0	0	0	5253874	531935	120844	61.66397856164326	20335887.0	19464405.0	95.71	871482.0	4.29	INDIMOD_Cond_21_R2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20335887.0	0.0	20-101	52.0	6.939882399029758	97.42394339622363	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn	2.6	20437543	6948153	20437543	2064191843	31598450	2002197661	3.0033149394632117	0.0132	0.4354	0.5515		
INDIMOD_Cond_22_R1	15399291	10538304	635421	793441	0	0	0	0	75924	0	0	0	0	2873106	383922	99173	68.43369607081262	15399291.0	14605850.0	94.85	793441.0	5.15	INDIMOD_Cond_22_R1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15399291.0	0.0	20-101	51.0	8.228451903149288	97.63948093454432	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	15489364	5458678	15489364	1564425764	22998097	1517733298	2.9846392890266924	0.0135	0.4652	0.5213		
INDIMOD_Cond_22_R2	12139766	8020398	583363	831971	0	0	0	0	59914	0	0	0	0	2282186	301496	60438	66.06715483642766	12139766.0	11307795.0	93.15	831971.0	6.85	INDIMOD_Cond_22_R2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12139766.0	0.0	20-101	51.0	9.278374297758392	98.17777920925327	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail	2.6	12253715	4383645	12253715	1237625215	18807527	1199938223	3.045105379498914	0.0154	0.4641	0.5205		
INDIMOD_Cond_23_R1	20081193	13757095	1277584	763830	0	0	0	0	668218	0	0	0	0	2777873	586920	249673	68.50735909963119	20081193.0	19317363.0	96.2	763830.0	3.8	INDIMOD_Cond_23_R1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20081193.0	0.0	20-101	52.0	11.082363557646566	94.95373885406111	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass	pass	2.6	20264438	7990722	20264438	2046708238	31286527	1930771933	5.664525253159215	0.0164	0.3785	0.6051		
INDIMOD_Cond_23_R2	18664995	13500470	788037	595219	0	0	0	0	151963	0	0	0	0	2824375	580940	223991	72.3304238763525	18664995.0	18069776.0	96.81	595219.0	3.19	INDIMOD_Cond_23_R2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18664995.0	0.0	20-101	52.0	8.559576578518163	98.272169266587	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	2.6	18762032	6509134	18762032	1894965232	25269872	1841916256	2.799469621086958	0.015	0.377	0.608		
INDIMOD_Cond_32_R1	7731235	1725539	555797	1557962	0	0	0	0	9536	0	0	0	0	3782869	86549	12983	22.319060279502565	7731235.0	6173273.0	79.85	1557962.0	20.15	INDIMOD_Cond_32_R1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7731235.0	0.0	20-101	48.0	19.50063418611339	98.3781080254319	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	7739962	2468673	7739962	781736162	1166529	767603654	1.8078360304892744	0.0067	0.5693	0.424		
INDIMOD_Cond_32_R2	7173116	1674838	208847	1520193	0	0	0	0	8918	0	0	0	0	3663592	83756	12972	23.3488207914106	7173116.0	5652923.0	78.81	1520193.0	21.19	INDIMOD_Cond_32_R2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7173116.0	0.0	20-101	48.0	22.47338650203343	98.58983515671572	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	7180111	3089728	7180111	725191211	1044670	711639088	1.8687654779092464	0.0071	0.611	0.3819		
INDIMOD_Cond_33_R1	10232085	6936299	693151	482404	0	0	0	0	147874	0	0	0	0	1613117	252399	106841	67.78969291205067	10232085.0	9749681.0	95.29	482404.0	4.71	INDIMOD_Cond_33_R1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10232085.0	0.0	20-101	52.0	20.34708178582722	98.02999271409492	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	2.6	10260398	3659124	10260398	1036300198	661263	1011462024	2.396812627068513	0.0146	0.4345	0.5509		
INDIMOD_Cond_33_R2	8928971	6255911	303136	558191	0	0	0	0	119122	0	0	0	0	1369086	221069	102456	70.0630677375926	8928971.0	8370780.0	93.75	558191.0	6.25	INDIMOD_Cond_33_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8928971.0	0.0	20-101	51.0	16.15636369624861	98.91918542461389	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	8992737	2962544	8992737	908266437	423263	890788723	1.924293719112732	0.0125	0.4621	0.5254		
INDIMOD_Cond_34_R1	9231862	5968944	1282681	256905	0	0	0	0	27190	0	0	0	0	1409758	271245	15139	64.65590581834954	9231862.0	8974957.0	97.22	256905.0	2.78	INDIMOD_Cond_34_R1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9231862.0	0.0	20-101	51.0	15.36673269377516	95.36365989872898	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	2.6	9280147	3463959	9280147	937294847	9485713	905944534	3.3447653212159394	0.0146	0.4551	0.5303		
INDIMOD_Cond_34_R2	10717859	6874880	1526293	282666	0	0	0	0	24495	0	0	0	0	1679192	321185	9148	64.1441541636254	10717859.0	10435193.0	97.36	282666.0	2.64	INDIMOD_Cond_34_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10717859.0	0.0	20-101	51.0	14.47192949410288	95.10332968552768	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	2.6	10795402	4151414	10795402	1090335602	12520824	1049670670	3.729579399719537	0.0163	0.4503	0.5334		
TRN_MG1655_stationary_12h_GlcM9_N_Rep1	6864264	2696224	889873	482614	0	0	0	0	99403	0	0	0	0	2508002	134814	53334	39.27914194442405	6864264.0	6381650.0	92.97	482614.0	7.03	TRN_MG1655_stationary_12h_GlcM9_N_Rep1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6864264.0	0.0	20-51	52.0	18.92518777705625	50.332472498144014	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	2.6	6870198	2388034	6870198	350380098	842991	345328181	1.441839028197315	0.0361	0.5471	0.4168		
TRN_MG1655_stationary_12h_GlcM9_N_Rep2	6408357	2646910	716434	532786	0	0	0	0	76533	0	0	0	0	2235359	143370	56965	41.30403471591861	6408357.0	5875571.0	91.69	532786.0	8.31	TRN_MG1655_stationary_12h_GlcM9_N_Rep2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6408357.0	0.0	20-51	51.0	22.050446758468585	50.37714191016512	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	2.6	6414601	1999700	6414601	327144651	645822	323111502	1.2328335455498554	0.0347	0.5538	0.4116		
