Geneid,ddb_pd_005_DDB_PD_005_AMBR_7__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_7__S07_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_8__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R7__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R7__S10_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R8__S07_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R8__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S10_RNAseq,ddb_pd_038_DDB_PD_038_AMBR_R7_S03_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R7_S07_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R7_S11_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S03_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S07_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S11_RNA_seq
b0001,9.518377459796953,8.374657620267145,9.09282935667035,12.257112604815802,11.184831837970995,9.00419880674085,10.151561193569375,9.855474445037029,9.291333655920468,9.609461119894737,10.168995992321719,9.402638961366758,9.675094057676793,9.903692780997927,9.314420074691629,10.142587080325912,9.941181756096126,9.60784867677194,9.798955812596892,9.046415597484785,8.467470674962957,8.115366381792121,8.08312613626704,7.243482067017399,8.070454847088032
b0002,9.38987754337314,8.010271912845257,9.305596708592642,9.617292087122646,8.93731672110006,8.358297854757712,8.670700930426749,9.733432029499857,8.01036447554215,8.849338444892604,9.678392697166528,7.985460582470783,8.673014519823651,9.673416192754441,7.673555321353547,8.720402045207463,9.681648256468327,9.272288032782654,8.657238951460643,10.135515576169146,7.140727071371049,8.362318541959016,9.763351561457057,6.967242254729473,8.433898574601088
b0003,8.501981535743528,7.437846407531929,8.368636593083812,9.075033411458866,8.095309050589922,7.6451601642022355,7.949271823387824,8.800615935366347,7.294704799814981,8.051843594760154,8.856342975071982,7.505699408734508,7.968053490423762,8.908448673516151,7.140942414882559,8.06330184620223,8.77184694653988,8.818857348722728,7.926540092481878,9.632028139133425,7.338469081954936,8.076324829696185,9.01002951183818,6.893383709513091,8.049390060346928
b0004,9.316807035413184,8.19045938704249,9.545989542789233,9.350947680957551,8.8474386528246,8.347203888954473,8.62561232725459,9.465112054862512,8.046802857499317,8.72035160606463,9.517764437947136,7.974376654813005,8.65725214931837,9.477528430865675,7.820822450745626,8.791061690949315,9.467159883671549,8.272517724871934,8.522025762359249,10.045637178921073,7.687993698823408,8.65353912605974,9.90449104761207,7.575462391021841,8.55940039821389
b0005,3.929186559235805,2.2179912528777854,3.5900058178985335,5.169478279420511,3.579592108193263,2.3275572796277797,3.3310488351119054,4.720903237820565,2.5140963751577607,3.080087697813618,4.702637546723327,2.3987633147790306,3.320916811916256,4.954243523190483,2.8255555939302575,4.1482424326124665,4.89753385884547,1.7892536164656194,2.826703524980165,5.2090379379116385,2.884483503569253,3.298403698313802,4.07338636662291,1.7430767859615899,3.012738386259058
b0006,6.0439530076442844,5.361590192494614,6.1611774266367,6.262783969081877,5.521892609030429,5.541661533091705,5.6521683746310485,6.088204958541618,5.593448722882859,5.4483842126630995,6.108418792070005,5.582100934074935,5.594424522775063,5.939123771131707,5.51368624658135,5.626209583456376,6.141815360626757,5.864779850815091,5.804108872711735,6.269320571141451,5.726425709464599,6.046083928630985,6.32080541079128,5.885091291203595,5.800423803691791
b0007,3.1010536679975256,3.3644072952975055,3.4815054344375187,3.9563982730543024,3.6807269725373595,3.6324261654527517,3.3063223968359288,3.419551731624274,3.238119780252333,3.1352729123176224,3.239546613083968,3.357505684920915,3.2409267077619313,3.1658235896546976,3.389285598154476,3.5564272075781895,3.367732891789828,3.9209835081985602,3.3807943776947464,2.4613842713042637,3.3343071963305935,2.8242261527311174,2.7841491821092528,3.3755760135104595,3.219733560540539
b0008,10.086557963627754,9.786142880723604,10.192958084143752,9.97420920837316,10.132690311655034,9.89234789387723,10.169725405776191,10.110023848766946,9.727689930455236,9.945874711386711,10.090428803137117,9.6346075176968,9.875841529186946,10.076389357847566,9.743553125563377,9.930113603790128,10.083956489173653,9.692224180133929,9.801777593943685,10.168887992861537,9.713358240928297,9.763513923324377,10.144614295054225,9.668627598322242,9.756595214733586
b0009,5.795225057516927,5.7286029451502545,5.818259973285942,5.449878581752133,5.8985996339621085,5.674694501947862,5.7285241778683025,5.899173699410903,5.394348391254564,5.6697197904853995,5.636504371207155,5.590359962547723,5.625357482807573,5.730830813539011,5.586619359908878,5.644330956229557,5.775077387896909,5.772435198069386,5.601203709292259,5.754026546464426,5.826361318033722,5.591763201390546,5.392010845730536,5.580021281148565,5.594639617866535
b0010,4.733495644270468,4.84824811518666,4.756362814817074,4.66883736033904,4.92874406194968,4.826355449481565,4.665899628213563,5.010899089021281,4.830911176823346,4.735103125078345,4.737984288084315,5.125045949671922,4.6014577095747935,4.850277023810664,4.982688615089274,5.160449611883365,5.009022587270918,5.631441941011485,4.786754744234625,3.7388784874411773,4.429150442816254,4.268629391286096,3.7110688610400087,5.069758078362582,5.101586025572939
