Experiment	sample_id	study	project	reference_condition	condition	rep_id	Strain Description	Strain	Culture Type	Evolved Sample	Base Media	Temperature (C)	pH	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Antibiotic for selection	Growth_Phase	Growth Rate (1/hr)	Isolate Type	Additional Details	Sequencing Machine	LibraryLayout	Platform	Biological Replicates	doi	GEO	SRX	Run	R1	R2	contact	creator	passed_fastqc	passed_pct_reads_mapped	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_similar_replicates	passed_number_replicates	run_date	n_replicates	PxK_sample_type	deleted_genes	mutated_genes	overexpressed_genes
p1k_00549	ros_tale__1_2_250pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_2_250pq	2	Escherichia coli ERS.13.87	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2		paraquat (250uM)				Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:1_2_250pq	TRUE	TRUE	10/30/19	2	ALE			
p1k_00550	ros_tale__1_2_750pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_2_750pq	1	Escherichia coli ERS.13.87	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2		paraquat (750uM)				Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__1__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__1__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:1_2_750pq	TRUE	TRUE	1/21/20	2	ALE			
p1k_00551	ros_tale__1_2_750pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_2_750pq	2	Escherichia coli ERS.13.87	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2		paraquat (750uM)				Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:1_2_750pq	TRUE	TRUE	1/21/20	2	ALE			
p1k_00552	ros_tale__3_0_0pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	3_0_0pq	1	Escherichia coli ERS.14.27	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2						Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__14_27_0pq__1__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__14_27_0pq__1__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:3_0_0pq	TRUE	TRUE	8/26/19	2	ALE			
p1k_00553	ros_tale__3_0_0pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	3_0_0pq	2	Escherichia coli ERS.14.27	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2						Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__14_27_0pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__14_27_0pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:3_0_0pq	TRUE	TRUE	8/26/19	2	ALE			
p1k_00554	ros_tale__3_0_250pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	3_0_250pq	1	Escherichia coli ERS.14.27	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2		paraquat (250uM)				Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__14_27_250pq__1__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__14_27_250pq__1__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:3_0_250pq	TRUE	TRUE	8/26/19	2	ALE			
p1k_00555	ros_tale__3_0_250pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	3_0_250pq	2	Escherichia coli ERS.14.27	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2		paraquat (250uM)				Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__14_27_250pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__14_27_250pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:3_0_250pq	TRUE	TRUE	8/26/19	2	ALE			
p1k_00556	ros_tale__3_0_750pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	3_0_750pq	1	Escherichia coli ERS.14.27	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2		paraquat (750uM)				Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__14_27_750pq__1__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__14_27_750pq__1__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:3_0_750pq	TRUE	TRUE	9/20/19	2	ALE			
p1k_00557	ros_tale__3_0_750pq__2	ROS TALE	ros_tale	p1k_00001;p1k_00002	3_0_750pq	2	Escherichia coli ERS.14.27	GMOS	Batch	Endpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2		paraquat (750uM)				Clonal		NextSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ers2__14_27_750pq__2__R1.fastq.gz	s3://precise-db/raw_data/ros_tale/ers2__14_27_750pq__2__R2.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:3_0_750pq	TRUE	TRUE	1/21/20	2	ALE			
p1k_00558	ros_tale__1_mid_250pq__1	ROS TALE	ros_tale	p1k_00001;p1k_00002	1_mid_250pq	1	Escherichia coli ERS.16.28	GMOS	Batch	Midpoint	M9	37	7	glucose(4)	NH4Cl(1)	O2		paraquat (250uM)				Clonal		HiSeq	PAIRED	ILLUMINA	2	doi.org/10.1101/749887	GSE134256			s3://precise-db/raw_data/ros_tale/ROSHRS_16-28A_RNA_rerun_S93_L004_R1_001.fastq.gz	s3://precise-db/raw_data/ros_tale/ROSHRS_16-28A_RNA_rerun_S93_L004_R2_001.fastq.gz	Kevin Rychel	Justin Tan	TRUE	TRUE	TRUE	TRUE	ros_tale:1_mid_250pq	TRUE	TRUE	11/28/17	2	ALE			
