Sample,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,cutadapt_version,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
p1k_00001,6372886,4564848,53735,229666,0,0,0,0,164092,0,0,0,0,843043,262265,255237,71.62921163190428,6372886.0,6143220.0,96.4,229666.0,3.6,p1k_00001_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6372886.0,0.0,20-30,52.0,24.41006528369112,29.526617454007493,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,6496162,1970622,6496162,201381022,6939544,190056365,5.623497630278189,0.04,0.4476,0.5124,,
p1k_00002,4346353,3172381,26601,199565,0,0,0,0,85134,0,0,0,0,467149,183558,211965,72.98949256997763,4346353.0,4146788.0,95.41,199565.0,4.59,p1k_00002_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4346353.0,0.0,20-30,52.0,26.32372307961589,29.53981027311864,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,4394188,1383413,4394188,136219828,6035575,128348546,5.778367302005403,0.041,0.4461,0.5128,,
p1k_00003,11421794,8709903,5167,179345,0,0,0,0,12588,0,0,0,0,1876720,329353,308718,76.2568734823969,11421794.0,11242449.0,98.43,179345.0,1.57,p1k_00003_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,11421794.0,0.0,20-31,52.0,16.756661441411875,30.45837221368202,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,11445313,812673,11445313,354804703,5202270,348514249,1.7729342217879227,0.0264,0.5121,0.4614,,
p1k_00004,10539531,7892137,2908,131778,0,0,0,0,4483,0,0,0,0,2037463,253336,217426,74.881292156169,10539531.0,10407753.0,98.75,131778.0,1.25,p1k_00004_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10539531.0,0.0,20-31,53.0,19.773307265570068,30.312486295642568,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,10563549,734587,10563549,327470019,4805786,321661760,1.7736765697625592,0.0236,0.5321,0.4443,,
p1k_00005,10713890,8130048,1175,562512,0,0,0,0,41171,0,0,0,0,1355820,359045,264119,75.88325062138962,10713890.0,10151378.0,94.75,562512.0,5.25,p1k_00005_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10713890.0,0.0,20-31,51.0,15.876551529280851,30.45475070212593,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,10848313,1439302,10848313,336297703,8690930,325858317,3.1042097245606226,0.0317,0.4556,0.5127,,
p1k_00006,8880301,6704186,1569,510706,0,0,0,0,35416,0,0,0,0,1151763,292213,184448,75.49503108059062,8880301.0,8369595.0,94.25,510706.0,5.75,p1k_00006_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8880301.0,0.0,20-31,51.0,16.808164535645517,30.453684846943816,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,9037985,1199445,9037985,280177535,8349883,270366795,3.501615502470603,0.0326,0.4557,0.5117,,
p1k_00007,11279512,8562974,3708,170293,0,0,0,0,8027,0,0,0,0,1914462,334146,285902,75.91617438768627,11279512.0,11109219.0,98.49,170293.0,1.51,p1k_00007_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,11279512.0,0.0,20-31,53.0,20.80397950998205,30.309303097509893,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,11303219,1506428,11303219,350399789,6423699,342148845,2.354722879128218,0.0286,0.5085,0.463,,
p1k_00008,11767212,8914469,2215,150293,0,0,0,0,4602,0,0,0,0,2176944,287260,231429,75.75684877607371,11767212.0,11616919.0,98.72,150293.0,1.28,p1k_00008_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,11767212.0,0.0,20-31,51.0,13.621478025093223,30.45394363592668,pass,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,2.6,11791043,829440,11791043,365522333,5418347,358932968,1.802725690087998,0.0245,0.528,0.4475,,
p1k_00009,10556680,7821711,1766,595176,0,0,0,0,26254,0,0,0,0,1610227,311444,190102,74.09252719605027,10556680.0,9961504.0,94.36,595176.0,5.64,p1k_00009_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10556680.0,0.0,20-31,52.0,15.959560995261752,30.45958312651326,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,10702587,1409451,10702587,331780197,8836260,321222269,3.1822055974003773,0.0304,0.4803,0.4894,,
p1k_00010,10032103,7371964,1980,504705,0,0,0,0,56711,0,0,0,0,1619031,301596,176116,73.4837351649998,10032103.0,9527398.0,94.97,504705.0,5.03,p1k_00010_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10032103.0,0.0,20-31,52.0,19.76770036299952,30.32244894216098,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,10191100,1338900,10191100,315924100,8602587,305687623,3.2401697116490955,0.0306,0.4819,0.4876,,
